web-scraper-order,web-scraper-start-url,containers,containers-href,Nombre_pieces,Nombre_salles_bain,Superficie,Adresse
"1752438207-51","https://sn.coinafrique.com/categorie/appartements","favorite_border5heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-mamelles-5389854","3","3","130","Mamelles, Dakar, Sénégal"
"1752438212-52","https://sn.coinafrique.com/categorie/appartements","favorite_border5heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-fann-5400668","3","2","12","Fann, Dakar, Sénégal"
"1752438216-53","https://sn.coinafrique.com/categorie/appartements","favorite_border5heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-04-pieces-mariste-5416870","4","3","","Mariste, Dakar, Sénégal"
"1752438221-54","https://sn.coinafrique.com/categorie/appartements","favorite_border5heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-cite-biagui-5388260","4","3","135","Yoff, Dakar, Sénégal"
"1752438227-55","https://sn.coinafrique.com/categorie/appartements","favorite_border5heures","https://sn.coinafrique.com/annonce/appartements/location-studio-a-ngaparou-5400736","2","1","90","Ngaparou, Sénégal"
"1752438233-56","https://sn.coinafrique.com/categorie/appartements","favorite_border5heures","https://sn.coinafrique.com/annonce/appartements/vente-appartement-4-pieces-point-e-5400686","4","148","","Point E, Dakar, Sénégal"
"1752438237-57","https://sn.coinafrique.com/categorie/appartements","favorite_border5heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-point-e-5382323","150","","","Point E, Dakar, Sénégal"
"1752438242-58","https://sn.coinafrique.com/categorie/appartements","favorite_border4heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-a-louer-a-la-cite-mourtada-sur-la-vdn-5406779","4","2","","Ouest Foire, Dakar, Sénégal"
"1752438248-59","https://sn.coinafrique.com/categorie/appartements","favorite_border4heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-en-duplex-a-mermoz-5417032","7","4","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752438253-60","https://sn.coinafrique.com/categorie/appartements","favorite_border4heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-cite-djily-mbaye-5388398","4","3","135","Yoff, Dakar, Sénégal"
"1752438260-61","https://sn.coinafrique.com/categorie/appartements","favorite_border4heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-neufs-cite-mbackiyou-faye-aux-mamelles-5382412","4","2","","Mamelles, Dakar, Sénégal"
"1752438267-62","https://sn.coinafrique.com/categorie/appartements","favorite_border4heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-a-medina-soumbedioune-corniche-5391956","3","2","","Medina, Dakar, Sénégal"
"1752438273-63","https://sn.coinafrique.com/categorie/appartements","favorite_border4heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-03-pieces-mariste-5417036","3","2","","Mariste, Dakar, Sénégal"
"1752438279-64","https://sn.coinafrique.com/categorie/appartements","favorite_border3heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-a-mermoz-5415126","4","5","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752438284-65","https://sn.coinafrique.com/categorie/appartements","favorite_border3heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-2-pieces-mariste-5417101","2","1","60","Mariste, Dakar, Sénégal"
"1752438289-66","https://sn.coinafrique.com/categorie/appartements","favorite_border3heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-2-pieces-mariste-5417117","2","1","65","Mariste, Dakar, Sénégal"
"1752438294-67","https://sn.coinafrique.com/categorie/appartements","favorite_border3heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-chambres-a-ngor-almadies-5415145","3","4","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752438299-68","https://sn.coinafrique.com/categorie/appartements","favorite_border3heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-yoff-5406911","4","2","132","Yoff, Dakar, Sénégal"
"1752438304-69","https://sn.coinafrique.com/categorie/appartements","favorite_border3heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-corniche-ouakam-5391958","3","","","Ouakam, Dakar, Sénégal"
"1752438309-70","https://sn.coinafrique.com/categorie/appartements","favorite_border3heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-duplex-sacre-coeur-5391968","5","","","Sacré-Coeur, Dakar, Sénégal"
"1752438315-71","https://sn.coinafrique.com/categorie/appartements","favorite_border2heures","https://sn.coinafrique.com/annonce/appartements/vente-appartement-penthouse-6-pieces-almadies-5386766","6","4","400","Almadies, Dakar, Sénégal"
"1752438321-72","https://sn.coinafrique.com/categorie/appartements","favorite_border2heures","https://sn.coinafrique.com/annonce/appartements/vente-appartements-4-pieces-a-ngaparou-5384181","4","4","218","Ngaparou, Sénégal"
"1752438326-73","https://sn.coinafrique.com/categorie/appartements","favorite_border2heures","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-mamelles-5392014","3","2","130","Mamelles, Dakar, Sénégal"
"1752438330-74","https://sn.coinafrique.com/categorie/appartements","favorite_border2heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-5403167","4","350 m2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752438335-75","https://sn.coinafrique.com/categorie/appartements","favorite_border2heures","https://sn.coinafrique.com/annonce/appartements/vente-appartement-4pieces-corniche-5418901","4","6","247 m2","Fann, Dakar, Sénégal"
"1752438340-76","https://sn.coinafrique.com/categorie/appartements","favorite_border2heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-4pieces-zone-b-5418907","3","4","","Point E, Dakar, Sénégal"
"1752438345-77","https://sn.coinafrique.com/categorie/appartements","favorite_border2heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-5pieces-mermoze-5417189","5","350 m2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752438350-78","https://sn.coinafrique.com/categorie/appartements","favorite_border2heures","https://sn.coinafrique.com/annonce/appartements/location-appartement-fann-5418916","4","6","","Point E, Dakar, Sénégal"
"1752438355-79","https://sn.coinafrique.com/categorie/appartements","favorite_border1heure","https://sn.coinafrique.com/annonce/appartements/location-studio-mariste-5380602","2","2","150","Mariste, Dakar, Sénégal"
"1752438361-80","https://sn.coinafrique.com/categorie/appartements","favorite_border1heure","https://sn.coinafrique.com/annonce/appartements/location-studio-2pieces-mamelles-5382617","2","1","","Mamelles, Dakar, Sénégal"
"1752438365-81","https://sn.coinafrique.com/categorie/appartements","favorite_border1heure","https://sn.coinafrique.com/annonce/appartements/vente-appartements-mermoze-5418945","3","4","168 m2","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752438368-82","https://sn.coinafrique.com/categorie/appartements","favorite_border1heure","https://sn.coinafrique.com/annonce/appartements/location-penthouse-almadie-5418984","5","7","400 m2","Almadies, Dakar, Sénégal"
"1752438373-83","https://sn.coinafrique.com/categorie/appartements","favorite_border1heure","https://sn.coinafrique.com/annonce/appartements/location-studio-ouest-foire-5420335","2","2","55 m2","Ouest Foire, Dakar, Sénégal"
"1752438376-84","https://sn.coinafrique.com/categorie/appartements","favorite_border30minutes","https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-damel-5405220","4","3","133","Damel, Dakar, Sénégal"
