web-scraper-order,web-scraper-start-url,containers_link,containers_link-href,Nombre_de_pieces,Nombre_salles_bain,Superficie,Adresse
"1752399217-76","https://sn.coinafrique.com/categorie/villas","1 200 000CFA","https://sn.coinafrique.com/annonce/villas/location-villa-6pieces-vdn-5415838","5","3","200 m2","Dakar, Sénégal"
"1752399223-77","https://sn.coinafrique.com/categorie/villas","1 500 000CFA","https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-ngor-5410636","7","3","12","Ngor, Dakar, Sénégal"
"1752399229-78","https://sn.coinafrique.com/categorie/villas","1 300 000 CFA","https://sn.coinafrique.com/annonce/villas/location-villa-5pieces-mermoz-5411887","605","500 m2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752399237-79","https://sn.coinafrique.com/categorie/villas","80 000 000 CFA","https://sn.coinafrique.com/annonce/villas/vente-villas-4-pieces-almadies-2-5358394","4","3","152","Almadies 2, Dakar, Sénégal"
"1752399246-80","https://sn.coinafrique.com/categorie/villas","45 599 500 CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-6pieces-mboro-5415772","6","2","600 m2","Thies, Sénégal"
"1752399255-81","https://sn.coinafrique.com/categorie/villas","64 959 499 CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-4pieces-avec-piscine-somone-5415726","4","2","300 m2","Thies, Sénégal"
"1752399266-82","https://sn.coinafrique.com/categorie/villas","400 000 000 CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-4pieces-saly-5374958","3","2","700 m2","Thies, Sénégal"
"1752399280-83","https://sn.coinafrique.com/categorie/villas","199 500 000 CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-5pieces-saly-ngaparou-5392498","5","2","600 m2","Thies, Sénégal"
"1752399291-84","https://sn.coinafrique.com/categorie/villas","499 500 000 CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-6pieces-mamellesdakar-5392519","8","5","200 m2","Thies, Sénégal"
"1752399302-85","https://sn.coinafrique.com/categorie/villas","56 499 500 CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-7pieces-a-mboro-5313649","5","3","300 m2","Thies, Sénégal"
"1752399314-86","https://sn.coinafrique.com/categorie/villas","1 600 000 000 CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-almadies-5231956","12","7","1050","Almadies, Dakar, Sénégal"
"1752399324-87","https://sn.coinafrique.com/categorie/villas","70 000 000 CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-6pieces-keur-massar-5412003","6","5","170","Keur Massar, Sénégal"
