web-scraper-order,web-scraper-start-url,containers,containers-href,Superficie,Prix,Adresse,Lien_image,Lien_image-href
"1752436310-56","https://sn.coinafrique.com/categorie/terrains","150 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-300m-almadie-5399288","300 m2","150 000 000 CFA","Ouest Foire, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-300m-almadie-5399288#"
"1752436321-57","https://sn.coinafrique.com/categorie/terrains","40 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-500m-mbour-5399317","500 m2","40 000 000 CFA","Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-500m-mbour-5399317#"
"1752436330-58","https://sn.coinafrique.com/categorie/terrains","4 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrains-6lots-150m-diamniadio-en-face-terminus-ter-5415574","150 m2","4 000 000 CFA","Rufisque, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrains-6lots-150m-diamniadio-en-face-terminus-ter-5415574#"
"1752436336-59","https://sn.coinafrique.com/categorie/terrains","500 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-7300-m-hann-5395493","7300 m2","500 000 CFA","Hann Bel-Air, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-7300-m-hann-5395493#"
"1752436342-60","https://sn.coinafrique.com/categorie/terrains","150 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-300m-hangar-pelerin-5399658","300 m2","150 000 000 CFA","Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-300m-hangar-pelerin-5399658#"
"1752436347-61","https://sn.coinafrique.com/categorie/terrains","2 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrains-150-m-cite-mansour-dia-5399678","150 m2","2 000 000 CFA","Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrains-150-m-cite-mansour-dia-5399678#"
"1752436351-62","https://sn.coinafrique.com/categorie/terrains","2 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrains-150-m-yenne-kandam-5399677","150 m2","2 000 000 CFA","Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrains-150-m-yenne-kandam-5399677#"
"1752436355-63","https://sn.coinafrique.com/categorie/terrains","750 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrains-500m-3-facades-corniche-mamelles-5375134","500","750 000 000 CFA","Mamelles, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrains-500m-3-facades-corniche-mamelles-5375134#"
"1752436359-64","https://sn.coinafrique.com/categorie/terrains","250 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-264m-a-demolir-a-biagui-virage-yoff-5398194","264","250 000 000 CFA","Yoff, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-264m-a-demolir-a-biagui-virage-yoff-5398194#"
"1752436363-65","https://sn.coinafrique.com/categorie/terrains","275 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrains-357m-angle-hangars-pelerins-yoff-5398203","357","275 000 000 CFA","Yoff, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrains-357m-angle-hangars-pelerins-yoff-5398203#"
"1752436367-66","https://sn.coinafrique.com/categorie/terrains","18 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-180-m-sicap-keur-massar-5416248","","18 000 000 CFA","Keur Massar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-180-m-sicap-keur-massar-5416248#"
"1752436371-67","https://sn.coinafrique.com/categorie/terrains","1 000 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrains-732m-pieds-dans-leau-virage-yoff-5379949","732","1 000 000 000 CFA","Yoff, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrains-732m-pieds-dans-leau-virage-yoff-5379949#"
